,lat,lon
370,-23.342256,-51.130372
371,-23.342256,-51.130372
372,-23.342256,-51.130372
373,-23.342256,-51.130372
374,-23.342256,-51.130372
375,-23.342256,-51.130372
376,-23.342256,-51.130372
377,-23.342256,-51.130372
378,-23.342256,-51.130372
379,-23.342256,-51.130372
380,-23.342256,-51.130372
381,-23.310278,-51.165556
382,-23.385278,-51.076111
383,-23.385278,-51.076111
384,-23.385278,-51.076111
385,-23.385278,-51.076111
386,-23.337528,-50.981711
387,-23.337528,-50.981708
388,-23.337528,-50.981706
389,-23.337528,-50.981706
390,-23.337528,-50.981706
391,-23.337528,-50.981706
392,-23.337528,-50.981706
393,-23.337528,-50.981706
394,-23.337528,-50.981706
395,-23.337528,-50.981706
396,-23.337528,-50.981706
397,-23.195556,-51.176389
398,-23.195556,-51.176389
399,-23.311944,-51.182778
400,-23.332778,-51.172778
401,-23.25,-51.166667
402,-23.25,-51.166667
403,-23.195556,-51.176389
404,-23.195556,-51.176389
405,-23.195556,-51.176389
406,-23.195556,-51.176389
407,-23.195556,-51.176389
408,-23.195556,-51.176389
409,-23.195556,-51.176389
410,-23.195556,-51.176389
411,-23.195556,-51.176389
412,-23.195556,-51.176389
413,-23.195556,-51.176389
414,-23.195556,-51.176389
415,-23.195556,-51.176389
416,-23.385278,-51.076108
417,-23.385278,-51.076108
418,-23.385278,-51.076108
419,-23.385278,-51.076108
420,-23.294481,-51.170089
421,-23.310278,-51.162778
422,-23.310278,-51.162778
423,-23.310278,-51.162778
424,-23.383306,-51.310444
425,-23.3815,-51.0766
426,-23.332778,-51.172778
427,-23.275833,-51.278333
428,-23.456889,-51.27075
429,-23.456889,-51.27075
430,-23.456889,-51.27075
431,-23.456889,-51.27075
432,-23.310278,-51.162778
433,-23.448056,-51.255833
434,-23.448056,-51.255833
435,-23.289722,-51.208611
436,-23.291667,-51.208611
437,-23.1975,-51.205
438,-23.427778,-51.169167
439,-23.365,-51.169167
440,-23.328014,-51.206786
441,-23.328014,-51.206786
442,-23.328014,-51.206786
443,-23.328014,-51.206783
444,-23.316653,-51.204364
445,-23.316653,-51.204364
446,-23.316653,-51.204364
447,-23.316653,-51.204364
448,-23.316653,-51.204364
449,-23.316653,-51.204364
450,-23.316653,-51.204364
451,-23.316653,-51.204364
452,-23.316653,-51.204364
453,-23.364908,-51.179153
454,-23.364908,-51.179153
455,-23.364908,-51.179153
456,-23.364908,-51.179153
457,-23.364908,-51.179153
458,-23.364908,-51.179153
459,-23.364908,-51.179153
460,-23.364908,-51.179153
461,-23.364908,-51.179153
462,-23.364908,-51.179153
463,-23.364906,-51.179153
464,-23.364906,-51.179153
465,-23.364906,-51.179153
466,-23.448056,-51.255833
467,-23.448056,-51.255833
468,-23.448056,-51.255833
469,-23.448056,-51.255833
470,-23.448056,-51.255833
471,-23.448056,-51.255831
472,-23.448056,-51.255831
473,-23.448056,-51.255831
474,-23.448056,-51.255831
475,-23.448056,-51.255831
476,-23.292,-51.27175
477,-23.327083,-51.203722
478,-23.327083,-51.203722
479,-23.327083,-51.203722
